val_loss_cross_step,val_acc_top1_step,val_acc_top5_step,val_acc_mean_pos_step,val_loss_step,step,val_loss_cross_epoch,val_acc_top1_epoch,val_acc_top5_epoch,val_acc_mean_pos_epoch,val_loss_epoch,epoch,train_loss_cross_epoch,train_acc_top1_epoch,train_acc_top5_epoch,train_acc_mean_pos_epoch,train_loss_epoch
2.666088819503784,0.4583333432674408,1.0,2.0,2.666088819503784,0,,,,,,,,,,,
2.480107545852661,0.4583333432674408,1.0,1.875,2.480107545852661,1,,,,,,,,,,,
2.9639058113098145,0.25,1.0,2.0,2.9639058113098145,2,,,,,,,,,,,
,,,,,9,2.7033674716949463,0.3888888955116272,1.0,1.9583333730697632,2.7033674716949463,0,,,,,
,,,,,9,,,,,,0,3.911652088165283,0.23333333432674408,0.699999988079071,4.733333110809326,3.911652088165283
1.4990912675857544,0.6666666865348816,1.0,1.75,1.4990912675857544,3,,,,,,,,,,,
1.765770435333252,0.7083333134651184,1.0,1.375,1.765770435333252,4,,,,,,,,,,,
1.70277738571167,0.5625,1.0,1.625,1.70277738571167,5,,,,,,,,,,,
,,,,,19,1.6558797359466553,0.6458333134651184,1.0,1.5833333730697632,1.6558797359466553,1,,,,,
,,,,,19,,,,,,1,2.227943181991577,0.550000011920929,0.9624999761581421,1.9791666269302368,2.227943181991577
